Rk,Wk,Date,Time,Day,Winner/Tie,WinnerPts,At,Loser/Tie,LoserPts,Notes
509,9,Oct 26 2013,8:00 PM,Sat,(4) Ohio State,63,,Penn State,14,
510,9,Oct 26 2013,4:45 PM,Sat,(17) Oklahoma,38,,(10) Texas Tech,30,
511,9,Oct 26 2013,12:00 PM,Sat,(19) Oklahoma State,58,@,Iowa State,27,
512,9,Oct 26 2013,7:00 PM,Sat,(2) Oregon,42,,(12) UCLA,14,
513,9,Oct 26 2013,3:30 PM,Sat,Rice,45,,Texas-El Paso,7,
514,9,Oct 26 2013,7:00 PM,Sat,San Jose State,51,,Wyoming,44,
515,9,Oct 26 2013,7:00 PM,Sat,(20) South Carolina,27,@,(5) Missouri,24,
516,9,Oct 26 2013,4:00 PM,Sat,Southern California,19,,Utah,3,
517,9,Oct 26 2013,3:00 PM,Sat,Southern Methodist,59,,Temple,49,
518,9,Oct 26 2013,10:30 PM,Sat,(8) Stanford,20,@,Oregon State,12,
519,9,Oct 26 2013,7:30 PM,Sat,Texas,30,@,Texas Christian,7,
520,9,Oct 26 2013,12:21 PM,Sat,(14) Texas A&amp;M,56,,Vanderbilt,24,
521,9,Oct 26 2013,7:00 PM,Sat,Texas State,33,,South Alabama,31,
522,9,Oct 26 2013,5:00 PM,Sat,Texas-San Antonio,52,,Alabama-Birmingham,31,
523,9,Oct 26 2013,2:30 PM,Sat,Toledo,28,@,Bowling Green State,25,
524,9,Oct 26 2013,4:00 PM,Sat,Troy,32,@,Western Kentucky,26,
525,9,Oct 26 2013,3:30 PM,Sat,Tulane,14,,Tulsa,7,
526,9,Oct 26 2013,11:00 PM,Sat,Washington,41,,California,17,
527,9,Oct 26 2013,3:00 PM,Sat,Western Michigan,31,@,Massachusetts,30,
528,10,Oct 30 2013,8:00 PM,Wed,Cincinnati,34,@,Memphis,21,
529,10,Oct 31 2013,10:30 PM,Thu,(25) Arizona State,55,@,Washington State,21,
530,10,Oct 31 2013,7:00 PM,Thu,Houston,35,,South Florida,23,
531,10,Oct 31 2013,7:30 PM,Thu,Louisiana-Monroe,49,@,Troy,37,
532,10,Oct 31 2013,7:30 PM,Thu,North Texas,28,,Rice,16,
533,10,Nov 1 2013,9:00 PM,Fri,Southern California,31,@,Oregon State,14,
534,10,Nov 2 2013,12:00 PM,Sat,Air Force,42,,Army,28,
535,10,Nov 2 2013,3:30 PM,Sat,Akron,16,,Kent State,7,
536,10,Nov 2 2013,3:30 PM,Sat,Arizona,33,@,California,28,
537,10,Nov 2 2013,7:30 PM,Sat,Arkansas State,17,@,South Alabama,16,
538,10,Nov 2 2013,6:00 PM,Sat,(8) Auburn,35,@,Arkansas,17,
539,10,Nov 2 2013,8:00 PM,Sat,Boise State,42,@,Colorado State,30,
540,10,Nov 2 2013,12:00 PM,Sat,Boston College,34,,Virginia Tech,27,
541,10,Nov 2 2013,3:30 PM,Sat,(9) Clemson,59,@,Virginia,10,
542,10,Nov 2 2013,6:00 PM,Sat,East Carolina,34,@,Florida International,13,
543,10,Nov 2 2013,5:00 PM,Sat,Florida Atlantic,34,,Tulane,17,
544,10,Nov 2 2013,8:00 PM,Sat,(3) Florida State,41,,(7) Miami (FL),14,
545,10,Nov 2 2013,10:30 PM,Sat,(16) Fresno State,41,,Nevada,23,
546,10,Nov 2 2013,3:30 PM,Sat,Georgia,23,,Florida,20,EverBank Field - Jacksonville FL
547,10,Nov 2 2013,7:00 PM,Sat,Georgia Tech,21,,Pittsburgh,10,
548,10,Nov 2 2013,3:30 PM,Sat,Kansas State,41,,Iowa State,7,
549,10,Nov 2 2013,7:30 PM,Sat,Kentucky,48,,Alabama State,14,
550,10,Nov 2 2013,5:00 PM,Sat,Louisiana-Lafayette,49,,New Mexico State,35,
551,10,Nov 2 2013,12:00 PM,Sat,Marshall,61,,Southern Mississippi,13,
552,10,Nov 2 2013,3:30 PM,Sat,(24) Michigan State,29,,(23) Michigan,6,
553,10,Nov 2 2013,1:00 PM,Sat,Middle Tennessee State,24,@,Alabama-Birmingham,21,
554,10,Nov 2 2013,3:30 PM,Sat,Minnesota,42,@,Indiana,39,
555,10,Nov 2 2013,7:00 PM,Sat,(10) Missouri,31,,Tennessee,3,
556,10,Nov 2 2013,3:30 PM,Sat,Nebraska,27,,Northwestern,24,
557,10,Nov 2 2013,12:30 PM,Sat,North Carolina,27,@,North Carolina State,19,
558,10,Nov 2 2013,12:00 PM,Sat,(21) Northern Illinois,63,@,Massachusetts,19,
559,10,Nov 2 2013,3:30 PM,Sat,Notre Dame,38,,Navy,34,
560,10,Nov 2 2013,12:00 PM,Sat,(4) Ohio State,56,@,Purdue,0,
561,10,Nov 2 2013,7:00 PM,Sat,(18) Oklahoma State,52,@,(15) Texas Tech,34,
562,10,Nov 2 2013,12:00 PM,Sat,Penn State,24,,Illinois,17,
563,10,Nov 2 2013,12:00 PM,Sat,Rutgers,23,,Temple,20,
564,10,Nov 2 2013,8:00 PM,Sat,San Diego State,35,,New Mexico,30,
565,10,Nov 2 2013,4:00 PM,Sat,San Jose State,34,@,Nevada-Las Vegas,24,
566,10,Nov 2 2013,12:21 PM,Sat,(14) South Carolina,34,,Mississippi State,16,
567,10,Nov 2 2013,12:30 PM,Sat,Syracuse,13,,Wake Forest,0,
568,10,Nov 2 2013,3:30 PM,Sat,Texas,35,,Kansas,13,
569,10,Nov 2 2013,9:00 PM,Sat,(12) Texas A&amp;M,57,,Texas-El Paso,7,
570,10,Nov 2 2013,5:00 PM,Sat,Texas State,37,@,Idaho,21,
571,10,Nov 2 2013,3:30 PM,Sat,Texas-San Antonio,34,@,Tulsa,15,
572,10,Nov 2 2013,7:00 PM,Sat,Toledo,55,,Eastern Michigan,16,
573,10,Nov 2 2013,7:30 PM,Sat,(17) UCLA,45,,Colorado,23,
574,10,Nov 2 2013,4:00 PM,Sat,Utah State,47,,Hawaii,10,
575,10,Nov 2 2013,3:30 PM,Sat,West Virginia,30,@,Texas Christian,27,
576,10,Nov 2 2013,1:00 PM,Sat,Western Kentucky,44,@,Georgia State,28,
577,10,Nov 2 2013,12:06 PM,Sat,(22) Wisconsin,28,@,Iowa,9,
578,11,Nov 5 2013,8:00 PM,Tue,Bowling Green State,45,@,Miami (OH),3,
579,11,Nov 5 2013,8:00 PM,Tue,Buffalo,30,,Ohio,3,
580,11,Nov 6 2013,8:00 PM,Wed,Ball State,44,,Central Michigan,24,
581,11,Nov 7 2013,7:30 PM,Thu,(5) Baylor,41,,(12) Oklahoma,12,
582,11,Nov 7 2013,7:30 PM,Thu,Louisiana-Lafayette,41,,Troy,36,
583,11,Nov 7 2013,9:00 PM,Thu,(6) Stanford,26,,(2) Oregon,20,
584,11,Nov 8 2013,8:30 PM,Fri,(20) Louisville,31,@,Connecticut,10,
585,11,Nov 8 2013,9:00 PM,Fri,New Mexico,45,,Air Force,37,
586,11,Nov 9 2013,8:00 PM,Sat,(1) Alabama,38,,(10) Louisiana State,17,
587,11,Nov 9 2013,4:00 PM,Sat,(23) Arizona State,20,@,Utah,19,
588,11,Nov 9 2013,7:00 PM,Sat,Arkansas State,42,@,Louisiana-Monroe,14,
589,11,Nov 9 2013,12:00 PM,Sat,(7) Auburn,55,@,Tennessee,23,
590,11,Nov 9 2013,3:30 PM,Sat,Boston College,48,@,New Mexico State,34,
591,11,Nov 9 2013,7:00 PM,Sat,(19) Central Florida,19,,Houston,14,
592,11,Nov 9 2013,12:00 PM,Sat,Cincinnati,28,,Southern Methodist,25,
593,11,Nov 9 2013,3:30 PM,Sat,Colorado State,38,,Nevada,17,
594,11,Nov 9 2013,4:00 PM,Sat,Duke,38,,North Carolina State,20,
595,11,Nov 9 2013,3:45 PM,Sat,East Carolina,58,,Tulsa,24,
596,11,Nov 9 2013,1:00 PM,Sat,Eastern Michigan,35,,Western Michigan,32,
597,11,Nov 9 2013,12:00 PM,Sat,(3) Florida State,59,@,Wake Forest,3,
598,11,Nov 9 2013,10:15 PM,Sat,(17) Fresno State,48,@,Wyoming,10,
599,11,Nov 9 2013,12:30 PM,Sat,Georgia,45,,Appalachian State,6,
600,11,Nov 9 2013,3:30 PM,Sat,Indiana,52,,Illinois,35,
601,11,Nov 9 2013,12:00 PM,Sat,Iowa,38,@,Purdue,14,
602,11,Nov 9 2013,12:00 PM,Sat,Kansas State,49,@,(25) Texas Tech,26,
603,11,Nov 9 2013,7:00 PM,Sat,Louisiana Tech,36,,Southern Mississippi,13,
604,11,Nov 9 2013,12:00 PM,Sat,Marshall,56,,Alabama-Birmingham,14,
605,11,Nov 9 2013,4:30 PM,Sat,Memphis,21,,Tennessee-Martin,6,
606,11,Nov 9 2013,4:00 PM,Sat,Middle Tennessee State,48,,Florida International,0,
607,11,Nov 9 2013,12:00 PM,Sat,Minnesota,24,,Penn State,10,
608,11,Nov 9 2013,12:21 PM,Sat,Mississippi,34,,Arkansas,24,
609,11,Nov 9 2013,12:00 PM,Sat,(9) Missouri,48,@,Kentucky,17,
610,11,Nov 9 2013,3:30 PM,Sat,Navy,42,,Hawaii,28,
611,11,Nov 9 2013,3:30 PM,Sat,Nebraska,17,@,Michigan,13,
612,11,Nov 9 2013,12:30 PM,Sat,North Carolina,45,,Virginia,14,
613,11,Nov 9 2013,3:30 PM,Sat,North Texas,41,,Texas-El Paso,7,
614,11,Nov 9 2013,4:00 PM,Sat,(15) Oklahoma State,42,,Kansas,6,
615,11,Nov 9 2013,5:00 PM,Sat,Old Dominion,59,@,Idaho,38,
616,11,Nov 9 2013,8:00 PM,Sat,Pittsburgh,28,,(24) Notre Dame,21,
617,11,Nov 9 2013,10:30 PM,Sat,San Diego State,34,@,San Jose State,30,
618,11,Nov 9 2013,3:00 PM,Sat,Southern California,62,@,California,28,
619,11,Nov 9 2013,3:30 PM,Sat,Syracuse,20,@,Maryland,3,
620,11,Nov 9 2013,7:00 PM,Sat,Texas,47,@,West Virginia,40,
621,11,Nov 9 2013,3:30 PM,Sat,(11) Texas A&amp;M,51,,Mississippi State,41,
622,11,Nov 9 2013,12:00 PM,Sat,Texas Christian,21,@,Iowa State,17,
623,11,Nov 9 2013,2:00 PM,Sat,Texas-San Antonio,10,,Tulane,7,
624,11,Nov 9 2013,10:00 PM,Sat,(16) UCLA,31,@,Arizona,26,
625,11,Nov 9 2013,8:00 PM,Sat,Utah State,28,@,Nevada-Las Vegas,24,
626,11,Nov 9 2013,12:00 PM,Sat,Vanderbilt,34,@,Florida,17,
627,11,Nov 9 2013,7:00 PM,Sat,Virginia Tech,42,@,(14) Miami (FL),24,
628,11,Nov 9 2013,8:00 PM,Sat,Washington,59,,Colorado,7,
629,11,Nov 9 2013,12:00 PM,Sat,Western Kentucky,21,@,Army,17,
630,11,Nov 9 2013,3:30 PM,Sat,(21) Wisconsin,27,,Brigham Young,17,
631,12,Nov 12 2013,7:30 PM,Tue,Bowling Green State,49,,Ohio,0,
632,12,Nov 12 2013,7:30 PM,Tue,Toledo,51,,Buffalo,41,
633,12,Nov 13 2013,8:00 PM,Wed,Kent State,24,,Miami (OH),6,
634,12,Nov 13 2013,8:00 PM,Wed,(20) Northern Illinois,48,,Ball State,27,
635,12,Nov 14 2013,7:30 PM,Thu,(8) Clemson,55,,Georgia Tech,31,
636,12,Nov 14 2013,7:30 PM,Thu,Marshall,45,@,Tulsa,34,
637,12,Nov 15 2013,9:00 PM,Fri,(13) UCLA,41,,Washington,31,
638,12,Nov 16 2013,1:00 PM,Sat,Akron,14,,Massachusetts,13,Gillette Stadium - Foxboro MA
639,12,Nov 16 2013,7:45 PM,Sat,(1) Alabama,20,@,Mississippi State,7,
640,12,Nov 16 2013,9:30 PM,Sat,(21) Arizona State,30,,Oregon State,17,
641,12,Nov 16 2013,7:30 PM,Sat,Arkansas State,38,,Texas State,21,
642,12,Nov 16 2013,3:30 PM,Sat,(7) Auburn,43,,(25) Georgia,38,
643,12,Nov 16 2013,7:00 PM,Sat,(4) Baylor,63,,Texas Tech,34,AT&amp;T Stadium - Arlington TX
644,12,Nov 16 2013,10:15 PM,Sat,Boise State,48,,Wyoming,7,
645,12,Nov 16 2013,12:30 PM,Sat,Boston College,38,,North Carolina State,21,
646,12,Nov 16 2013,3:00 PM,Sat,Brigham Young,59,,Idaho State,13,
647,12,Nov 16 2013,12:00 PM,Sat,(15) Central Florida,39,@,Temple,36,
648,12,Nov 16 2013,12:00 PM,Sat,Central Michigan,27,@,Western Michigan,22,
649,12,Nov 16 2013,12:00 PM,Sat,Cincinnati,52,@,Rutgers,17,
650,12,Nov 16 2013,5:30 PM,Sat,Colorado,41,,California,24,
651,12,Nov 16 2013,7:00 PM,Sat,Colorado State,66,@,New Mexico,42,
652,12,Nov 16 2013,3:30 PM,Sat,Duke,48,,(24) Miami (FL),30,
653,12,Nov 16 2013,2:00 PM,Sat,East Carolina,63,,Alabama-Birmingham,14,
654,12,Nov 16 2013,12:30 PM,Sat,Florida Atlantic,41,@,Southern Mississippi,7,
655,12,Nov 16 2013,3:30 PM,Sat,(2) Florida State,59,,Syracuse,3,
656,12,Nov 16 2013,12:00 PM,Sat,Kansas,31,,West Virginia,19,
657,12,Nov 16 2013,3:30 PM,Sat,Kansas State,33,,Texas Christian,31,
658,12,Nov 16 2013,2:00 PM,Sat,Louisiana-Lafayette,35,@,Georgia State,21,
659,12,Nov 16 2013,7:00 PM,Sat,(19) Louisville,20,,Houston,13,
660,12,Nov 16 2013,12:30 PM,Sat,Maryland,27,@,Virginia Tech,24,
661,12,Nov 16 2013,7:00 PM,Sat,Memphis,23,@,South Florida,10,
662,12,Nov 16 2013,3:30 PM,Sat,Michigan,27,@,Northwestern,19,
663,12,Nov 16 2013,3:30 PM,Sat,(14) Michigan State,41,@,Nebraska,28,
664,12,Nov 16 2013,12:00 PM,Sat,Mississippi,51,,Troy,21,
665,12,Nov 16 2013,3:30 PM,Sat,Navy,42,,South Alabama,14,
666,12,Nov 16 2013,10:30 PM,Sat,Nevada,38,,San Jose State,16,
667,12,Nov 16 2013,12:30 PM,Sat,North Carolina,34,@,Pittsburgh,27,
668,12,Nov 16 2013,12:00 PM,Sat,(3) Ohio State,60,@,Illinois,35,
669,12,Nov 16 2013,12:00 PM,Sat,(22) Oklahoma,48,,Iowa State,10,
670,12,Nov 16 2013,3:30 PM,Sat,(12) Oklahoma State,38,@,(23) Texas,13,
671,12,Nov 16 2013,4:00 PM,Sat,(6) Oregon,44,,Utah,21,
672,12,Nov 16 2013,12:00 PM,Sat,Penn State,45,,Purdue,21,
673,12,Nov 16 2013,7:00 PM,Sat,Rice,52,,Louisiana Tech,14,
674,12,Nov 16 2013,10:30 PM,Sat,San Diego State,28,@,Hawaii,21,
675,12,Nov 16 2013,7:00 PM,Sat,(11) South Carolina,19,,Florida,14,
676,12,Nov 16 2013,8:00 PM,Sat,Southern California,20,,(5) Stanford,17,
677,12,Nov 16 2013,3:00 PM,Sat,Southern Methodist,38,,Connecticut,21,
678,12,Nov 16 2013,8:00 PM,Sat,Texas-El Paso,33,,Florida International,10,
679,12,Nov 16 2013,12:21 PM,Sat,Vanderbilt,22,,Kentucky,6,
680,12,Nov 16 2013,2:00 PM,Sat,Washington State,24,@,Arizona,17,
681,12,Nov 16 2013,12:00 PM,Sat,(17) Wisconsin,51,,Indiana,3,
682,13,Nov 19 2013,8:00 PM,Tue,Buffalo,44,@,Miami (OH),7,
683,13,Nov 19 2013,8:00 PM,Tue,Kent State,44,@,Ohio,13,
684,13,Nov 20 2013,8:00 PM,Wed,(20) Northern Illinois,35,@,Toledo,17,
685,13,Nov 21 2013,7:30 PM,Thu,(17) Central Florida,41,,Rutgers,17,
686,13,Nov 21 2013,9:30 PM,Thu,Nevada-Las Vegas,41,@,Air Force,21,
687,13,Nov 21 2013,7:30 PM,Thu,Rice,37,@,Alabama-Birmingham,34,
688,13,Nov 22 2013,9:30 PM,Fri,Navy,58,@,San Jose State,52,
689,13,Nov 23 2013,2:00 PM,Sat,(1) Alabama,49,,Chattanooga,0,
690,13,Nov 23 2013,3:30 PM,Sat,Arizona,42,,(5) Oregon,16,
691,13,Nov 23 2013,7:00 PM,Sat,(19) Arizona State,38,@,(14) UCLA,33,
692,13,Nov 23 2013,3:00 PM,Sat,Arkansas State,35,,Georgia State,33,
693,13,Nov 23 2013,3:30 PM,Sat,Boston College,29,@,Maryland,26,
694,13,Nov 23 2013,1:00 PM,Sat,Bowling Green State,58,@,Eastern Michigan,7,
695,13,Nov 23 2013,1:00 PM,Sat,Central Michigan,37,,Massachusetts,0,
696,13,Nov 23 2013,12:00 PM,Sat,Cincinnati,24,,Houston,17,BBVA Compass Stadium - Houston TX
697,13,Nov 23 2013,12:00 PM,Sat,(7) Clemson,52,,Citadel,6,
698,13,Nov 23 2013,7:00 PM,Sat,Connecticut,28,@,Temple,21,
699,13,Nov 23 2013,12:00 PM,Sat,(25) Duke,28,@,Wake Forest,21,
700,13,Nov 23 2013,12:30 PM,Sat,East Carolina,42,@,North Carolina State,28,
701,13,Nov 23 2013,3:00 PM,Sat,Florida Atlantic,55,,New Mexico State,10,
702,13,Nov 23 2013,3:30 PM,Sat,(2) Florida State,80,,Idaho,14,
703,13,Nov 23 2013,4:00 PM,Sat,(15) Fresno State,69,,New Mexico,28,
704,13,Nov 23 2013,7:00 PM,Sat,Georgia,59,,Kentucky,17,
706,13,Nov 23 2013,1:30 PM,Sat,Georgia Tech,66,,Alabama A&amp;M,7,
707,13,Nov 23 2013,12:00 PM,Sat,Illinois,20,@,Purdue,16,
708,13,Nov 23 2013,12:00 PM,Sat,Iowa,24,,Michigan,21,
709,13,Nov 23 2013,8:00 PM,Sat,Iowa State,34,,Kansas,0,
710,13,Nov 23 2013,3:30 PM,Sat,(18) Louisiana State,34,,(9) Texas A&amp;M,10,
711,13,Nov 23 2013,12:00 PM,Sat,(21) Louisville,24,,Memphis,17,
712,13,Nov 23 2013,6:00 PM,Sat,Marshall,48,@,Florida International,10,
713,13,Nov 23 2013,12:00 PM,Sat,Miami (FL),45,,Virginia,26,
714,13,Nov 23 2013,12:00 PM,Sat,(13) Michigan State,30,@,Northwestern,6,
715,13,Nov 23 2013,3:30 PM,Sat,Middle Tennessee State,42,@,Southern Mississippi,21,
716,13,Nov 23 2013,12:21 PM,Sat,Mississippi State,24,@,Arkansas,17,
717,13,Nov 23 2013,7:45 PM,Sat,(8) Missouri,24,@,(24) Mississippi,10,
718,13,Nov 23 2013,3:30 PM,Sat,Nebraska,23,@,Penn State,20,
719,13,Nov 23 2013,12:00 PM,Sat,North Carolina,80,,Old Dominion,20,
720,13,Nov 23 2013,3:30 PM,Sat,Notre Dame,23,,Brigham Young,13,
721,13,Nov 23 2013,3:30 PM,Sat,(4) Ohio State,42,,Indiana,14,
722,13,Nov 23 2013,12:00 PM,Sat,(22) Oklahoma,41,@,Kansas State,31,
723,13,Nov 23 2013,8:00 PM,Sat,(11) Oklahoma State,49,,(3) Baylor,17,
724,13,Nov 23 2013,12:30 PM,Sat,Pittsburgh,17,@,Syracuse,16,
725,13,Nov 23 2013,10:30 PM,Sat,San Diego State,34,,Boise State,31,
726,13,Nov 23 2013,7:00 PM,Sat,South Alabama,36,,Louisiana-Monroe,14,
727,13,Nov 23 2013,1:00 PM,Sat,(12) South Carolina,70,,Coastal Carolina,10,
728,13,Nov 23 2013,9:30 PM,Sat,(23) Southern California,47,@,Colorado,29,
729,13,Nov 23 2013,7:00 PM,Sat,Southern Methodist,16,@,South Florida,6,
730,13,Nov 23 2013,4:00 PM,Sat,(10) Stanford,63,,California,13,
731,13,Nov 23 2013,3:30 PM,Sat,Texas-San Antonio,21,@,North Texas,13,
732,13,Nov 23 2013,3:30 PM,Sat,Tulane,45,,Texas-El Paso,3,
733,13,Nov 23 2013,7:00 PM,Sat,Tulsa,24,@,Louisiana Tech,14,
734,13,Nov 23 2013,3:30 PM,Sat,Utah State,13,,Colorado State,0,
735,13,Nov 23 2013,7:00 PM,Sat,Vanderbilt,14,@,Tennessee,10,
736,13,Nov 23 2013,10:30 PM,Sat,Washington,69,@,Oregon State,27,
737,13,Nov 23 2013,3:30 PM,Sat,Washington State,49,,Utah,37,
738,13,Nov 23 2013,7:00 PM,Sat,Western Kentucky,38,@,Texas State,7,
739,13,Nov 23 2013,3:30 PM,Sat,(16) Wisconsin,20,@,Minnesota,7,
740,13,Nov 23 2013,2:05 PM,Sat,Wyoming,59,,Hawaii,56,
741,14,Nov 26 2013,7:00 PM,Tue,(18) Northern Illinois,33,,Western Michigan,14,
742,14,Nov 28 2013,7:30 PM,Thu,Mississippi State,17,,Mississippi,10,
743,14,Nov 28 2013,7:30 PM,Thu,Texas,41,,Texas Tech,16,
744,14,Nov 29 2013,12:00 PM,Fri,Akron,31,,Toledo,29,
745,14,Nov 29 2013,1:00 PM,Fri,Ball State,55,,Miami (OH),14,
746,14,Nov 29 2013,1:30 PM,Fri,Bowling Green State,24,,Buffalo,7,Ralph Wilson Stadium - Orchard Park NY
747,14,Nov 29 2013,8:00 PM,Fri,(17) Central Florida,23,,South Florida,20,
748,14,Nov 29 2013,2:00 PM,Fri,Central Michigan,42,,Eastern Michigan,10,
749,14,Nov 29 2013,3:00 PM,Fri,Florida Atlantic,21,,Florida International,6,
750,14,Nov 29 2013,12:00 PM,Fri,Houston,34,,Southern Methodist,0,Reliant Stadium - Houston TX
751,14,Nov 29 2013,12:00 PM,Fri,Iowa,38,@,Nebraska,17,
752,14,Nov 29 2013,2:30 PM,Fri,(15) Louisiana State,31,,Arkansas,27,
753,14,Nov 29 2013,12:00 PM,Fri,Marshall,59,,East Carolina,28,
754,14,Nov 29 2013,3:30 PM,Fri,Miami (FL),41,@,Pittsburgh,31,
755,14,Nov 29 2013,2:00 PM,Fri,Ohio,51,,Massachusetts,23,
756,14,Nov 29 2013,7:00 PM,Fri,(12) Oregon,36,,Oregon State,35,
757,14,Nov 29 2013,3:30 PM,Fri,San Jose State,62,,(16) Fresno State,52,
758,14,Nov 29 2013,2:00 PM,Fri,Troy,42,,Texas State,28,
759,14,Nov 29 2013,3:30 PM,Fri,Washington,27,,Washington State,17,
760,14,Nov 30 2013,9:30 PM,Sat,(13) Arizona State,58,,Arizona,21,
761,14,Nov 30 2013,3:30 PM,Sat,(4) Auburn,34,,(1) Alabama,28,
762,14,Nov 30 2013,3:30 PM,Sat,(9) Baylor,41,@,Texas Christian,38,
763,14,Nov 30 2013,10:15 PM,Sat,Boise State,45,,New Mexico,17,
764,14,Nov 30 2013,3:05 PM,Sat,Brigham Young,28,@,Nevada,23,
765,14,Nov 30 2013,2:00 PM,Sat,Colorado State,58,,Air Force,13,
766,14,Nov 30 2013,12:00 PM,Sat,Connecticut,28,,Rutgers,17,
767,14,Nov 30 2013,12:00 PM,Sat,(24) Duke,27,@,North Carolina,25,
768,14,Nov 30 2013,12:00 PM,Sat,(2) Florida State,37,@,Florida,7,
769,14,Nov 30 2013,3:30 PM,Sat,Georgia,41,@,Georgia Tech,34,
770,14,Nov 30 2013,11:00 PM,Sat,Hawaii,49,,Army,42,
771,14,Nov 30 2013,3:30 PM,Sat,Indiana,56,,Purdue,36,
772,14,Nov 30 2013,4:00 PM,Sat,Iowa State,52,@,West Virginia,44,
773,14,Nov 30 2013,12:00 PM,Sat,Kansas State,31,@,Kansas,10,
774,14,Nov 30 2013,7:00 PM,Sat,Louisiana-Monroe,31,@,Louisiana-Lafayette,28,
775,14,Nov 30 2013,12:30 PM,Sat,Maryland,41,@,North Carolina State,21,
776,14,Nov 30 2013,12:00 PM,Sat,(11) Michigan State,14,,Minnesota,3,
777,14,Nov 30 2013,3:45 PM,Sat,Middle Tennessee State,48,,Texas-El Paso,17,
778,14,Nov 30 2013,7:45 PM,Sat,(5) Missouri,28,,(19) Texas A&amp;M,21,
779,14,Nov 30 2013,10:30 PM,Sat,Nevada-Las Vegas,45,,San Diego State,19,
780,14,Nov 30 2013,3:30 PM,Sat,New Mexico State,24,,Idaho,16,
781,14,Nov 30 2013,2:30 PM,Sat,North Texas,42,@,Tulsa,10,
782,14,Nov 30 2013,3:30 PM,Sat,Northwestern,37,@,Illinois,34,
783,14,Nov 30 2013,12:00 PM,Sat,(3) Ohio State,42,@,Michigan,41,
784,14,Nov 30 2013,3:30 PM,Sat,Penn State,31,@,(14) Wisconsin,24,
785,14,Nov 30 2013,3:00 PM,Sat,Rice,17,,Tulane,13,
786,14,Nov 30 2013,2:00 PM,Sat,South Alabama,38,@,Georgia State,17,
787,14,Nov 30 2013,7:00 PM,Sat,(10) South Carolina,31,,(6) Clemson,17,
788,14,Nov 30 2013,1:00 PM,Sat,Southern Mississippi,62,@,Alabama-Birmingham,27,
789,14,Nov 30 2013,7:00 PM,Sat,(8) Stanford,27,,(25) Notre Dame,20,
790,14,Nov 30 2013,3:30 PM,Sat,Syracuse,34,,Boston College,31,
791,14,Nov 30 2013,12:00 PM,Sat,Temple,41,@,Memphis,21,
792,14,Nov 30 2013,7:00 PM,Sat,Tennessee,27,@,Kentucky,14,
793,14,Nov 30 2013,3:30 PM,Sat,Texas-San Antonio,30,,Louisiana Tech,10,
794,14,Nov 30 2013,8:00 PM,Sat,(22) UCLA,35,@,(23) Southern California,14,
795,14,Nov 30 2013,2:00 PM,Sat,Utah,24,,Colorado,17,
796,14,Nov 30 2013,2:00 PM,Sat,Utah State,35,,Wyoming,7,
797,14,Nov 30 2013,12:21 PM,Sat,Vanderbilt,23,,Wake Forest,21,
798,14,Nov 30 2013,3:30 PM,Sat,Virginia Tech,16,@,Virginia,6,
799,14,Nov 30 2013,4:00 PM,Sat,Western Kentucky,34,,Arkansas State,31,
800,15,Dec 5 2013,7:30 PM,Thu,(19) Louisville,31,@,Cincinnati,24,
801,15,Dec 6 2013,8:00 PM,Fri,Bowling Green State,47,,(16) Northern Illinois,27,Mid-American Championship - Ford Field Detroit MI
802,15,Dec 7 2013,4:00 PM,Sat,(3) Auburn,59,,(5) Missouri,42,SEC Championship - Georgia Dome Atlanta GA
803,15,Dec 7 2013,3:30 PM,Sat,(9) Baylor,30,,(23) Texas,10,
804,15,Dec 7 2013,12:00 PM,Sat,(15) Central Florida,17,@,Southern Methodist,13,
805,15,Dec 7 2013,1:00 PM,Sat,Connecticut,45,,Memphis,10,
806,15,Dec 7 2013,8:00 PM,Sat,(1) Florida State,45,,(20) Duke,7,ACC Championship - Bank of America Stadium Charlotte NC
807,15,Dec 7 2013,10:00 PM,Sat,(24) Fresno State,24,,Utah State,17,
808,15,Dec 7 2013,8:17 PM,Sat,(10) Michigan State,34,,(2) Ohio State,24,Big Ten Championship - Lucas Oil Stadium Indianapolis IN
809,15,Dec 7 2013,12:00 PM,Sat,(18) Oklahoma,33,@,(6) Oklahoma State,24,
810,15,Dec 7 2013,12:00 PM,Sat,Rice,41,,Marshall,24,
811,15,Dec 7 2013,7:30 PM,Sat,Rutgers,31,,South Florida,6,
812,15,Dec 7 2013,8:00 PM,Sat,South Alabama,30,,Louisiana-Lafayette,8,
813,15,Dec 7 2013,7:45 PM,Sat,(7) Stanford,38,@,(11) Arizona State,14,
814,16,Dec 14 2013,3:00 PM,Sat,Navy,34,,Army,7,Lincoln Financial Field - Philadelphia PA
815,17,Dec 21 2013,2:00 PM,Sat,Colorado State,48,,Washington State,45,Gildan New Mexico Bowl - University Stadium Albuquerque NM
816,17,Dec 21 2013,9:00 PM,Sat,Louisiana-Lafayette,24,,Tulane,21,R+L Carriers New Orleans Bowl - Mercedes-Benz Superdome New Orleans LA
817,17,Dec 21 2013,5:30 PM,Sat,San Diego State,49,,Buffalo,24,Famous Idaho Potato Bowl - Bronco Stadium Boise ID
818,17,Dec 21 2013,3:30 PM,Sat,Southern California,45,,(21) Fresno State,20,Royal Purple Las Vegas Bowl - Sam Boyd Stadium Las Vegas NV
